"","Sum Sq","Df","F value","Pr(>F)","PctExp","constrasts","Region","Stain","FDR_adjusted_pval","group1","group2"
"Age.Harvested202",2.18890646083834,1,32.4559859569661,1.41619743229153e-05,46.8229912083299,"Age.Harvested","Pallidum","AB1.42",4.09951888294917e-05,6,14
"Age.Harvested203",0.37782955094747,1,4.14278269004762,0.0552801227909792,11.714816971843,"Age.Harvested","Parasubiculum","AB1.42",0.0873680101581568,6,14
"Age.Harvested204",13.9653066811494,1,3.32430356467101,0.0832461163962504,8.98955466755726,"Age.Harvested","Pons","AB1.42",0.12509662299983,6,14
"Age.Harvested205",7.16294827950388,1,4.77848782092133,0.040878862591587,14.0498501826858,"Age.Harvested","Pons..behavioral.state.related","AB1.42",0.0669148048374191,6,14
"Age.Harvested206",47.6533800627338,1,3.59826967880736,0.0723758252921877,9.90753023293371,"Age.Harvested","Pons..motor.related","AB1.42",0.110574177529731,6,14
"Age.Harvested207",0.324306884764449,1,1.06479668255832,0.314441418666677,3.30271944835359,"Age.Harvested","Pons..sensory.related","AB1.42",0.387764081315409,6,14
"Age.Harvested208",39.3885416885504,1,7.67211614428263,0.0118179967594877,22.9132343417331,"Age.Harvested","Posterior.amygdalar.nucleus","AB1.42",0.0216663273923941,6,14
"Age.Harvested209",4.47686223553745,1,46.1190245737831,1.32754306182062e-06,52.3991804114028,"Age.Harvested","Postsubiculum","AB1.42",5.2153477428667e-06,6,14
"Age.Harvested210",1.42191081849287,1,16.927120860961,0.00053856279743321,30.8898805826766,"Age.Harvested","Presubiculum","AB1.42",0.00117543467693756,6,14
"Age.Harvested211",87.7878538482816,1,76.7165406407624,2.79628539117589e-08,71.5909535035995,"Age.Harvested","Reticular.nucleus.of.the.thalamus","AB1.42",1.70884107238527e-07,6,14
"Age.Harvested212",8.57091942902653,1,150.373736578046,9.26396171697869e-11,75.3026549960254,"Age.Harvested","Striatum","AB1.42",2.31599042924467e-09,6,14
"Age.Harvested213",18.4277458937132,1,44.539101513767,1.69872159289369e-06,58.5487186768229,"Age.Harvested","Striatum.like.amygdalar.nuclei","AB1.42",6.31281673034817e-06,6,14
